Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,22,23.08,22,22.530001,22.530001,54890
2019-01-03,22.5,23.049999,22.5,22.77,22.77,88098
2019-01-04,23.43,23.84,22.780001,23.16,23.16,69569
2019-01-07,23.18,24.5,23.1,23.27,23.27,160120
2019-01-08,23.219999,23.870001,22.82,23.23,23.23,190421
2019-01-09,23.280001,23.68,22.83,22.969999,22.969999,208973
2019-01-10,23.4,23.65,22.450001,22.66,22.66,265779
2019-01-11,23.01,23.08,22.030001,22.42,22.42,148725
2019-01-14,22.4,22.93,22.040001,22.75,22.75,195290
2019-01-15,22.209999,22.92,22.139999,22.559999,22.559999,235479
2019-01-16,22.6,23.389999,22.6,23.200001,23.200001,273233
2019-01-17,23.120001,25.379999,23,23.459999,23.459999,368978
2019-01-18,23.58,25.17,23.58,24.32,24.32,100723
2019-01-21,24,24.5,24,24.5,24.5,60746
2019-01-22,24.450001,25,24.049999,24.42,24.42,182291
2019-01-23,24.360001,24.950001,24.26,24.719999,24.719999,643122
2019-01-24,24.780001,25,23.969999,25,25,137743
2019-01-25,25,26.200001,25,25.77,25.77,116003
2019-01-28,25.25,26.42,25,25.16,25.16,172319
2019-01-29,25.49,26.120001,24.299999,25.49,25.49,232060
2019-01-30,25.15,25.49,24.51,24.889999,24.889999,115559
2019-01-31,24.860001,25.799999,23.940001,24.32,24.32,181390
2019-02-01,24.32,25,24,24.540001,24.540001,168474
2019-02-05,24.52,25.4,24.51,24.940001,24.940001,78886
2019-02-06,25,25.700001,24.309999,24.74,24.74,173707
2019-02-07,24.299999,25.389999,23.9,24.41,24.41,86925
2019-02-08,24.09,24.700001,23.969999,24.379999,24.379999,53461
2019-02-11,24.65,24.65,23.549999,24.129999,24.129999,43026
2019-02-12,23.91,24.129999,23.01,23.450001,23.450001,85482
2019-02-13,23.299999,23.700001,22.049999,22.76,22.76,209046
2019-02-14,22.459999,22.889999,21.530001,22.639999,22.639999,80533
2019-02-15,22.459999,22.6,21.950001,22.35,22.35,63690
2019-02-18,22.629999,23.16,21.66,22.309999,22.309999,233779
2019-02-19,22.299999,22.379999,21.85,22.23,22.23,42754
2019-02-20,22.299999,22.299999,21.799999,21.9,21.9,66373
2019-02-21,21.73,22,21.299999,21.379999,21.379999,92300
2019-02-22,21.719999,21.9,21.33,21.49,21.49,287838
2019-02-25,21.76,22.370001,21.299999,21.379999,21.379999,146755
2019-02-26,21.33,21.52,21.1,21.26,21.26,135003
2019-02-27,21.1,21.709999,21.01,21.18,21.18,52327
2019-02-28,21.1,21.200001,20.639999,20.82,20.82,467959
2019-03-01,20.77,21.049999,19.719999,20.35,20.35,305776
2019-03-04,20.1,20.200001,19.540001,19.639999,19.639999,163896
2019-03-05,19.82,19.950001,19.6,19.799999,19.799999,69556
2019-03-06,19.940001,19.940001,19.1,19.33,19.33,172170
2019-03-07,19.1,19.389999,19.1,19.129999,19.129999,116420
2019-03-08,19.1,19.42,18.41,19.09,19.09,127518
2019-03-11,19.6,19.75,19.1,19.57,19.57,77087
2019-03-12,19.700001,20.41,19.629999,20.02,20.02,210770
2019-03-13,20.01,20.25,19.51,19.809999,19.809999,53149
2019-03-14,19.879999,19.9,19.209999,19.389999,19.389999,56841
2019-03-15,19.780001,20.08,19.370001,19.6,19.6,83381
2019-03-19,19.799999,20.15,19.41,19.9,19.9,107601
2019-03-20,20.08,21.370001,19.559999,20,20,230969
2019-03-21,19.809999,20.49,19.73,19.99,19.99,226892
2019-03-22,20.42,20.450001,20,20.23,20.23,310716
2019-03-25,20.16,20.360001,19.25,20.059999,20.059999,76830
2019-03-26,19.82,20.120001,19.549999,19.84,19.84,59959
2019-03-27,19.610001,20.25,19.559999,20.190001,20.190001,106919
2019-03-28,19.91,20.41,19.799999,20.379999,20.379999,92542
2019-03-29,20.379999,21.879999,19.959999,20.48,20.48,209014
2019-04-01,20.5,21,20.1,20.59,20.59,93345
2019-04-02,20.57,20.57,19.959999,20.23,20.23,26017
2019-04-03,20.360001,20.58,20,20.190001,20.190001,110945
2019-04-04,20.23,20.379999,20.07,20.290001,20.290001,36620
2019-04-05,20.190001,21.6,20,21.4,21.4,278699
2019-04-08,21.120001,21.129999,20.889999,20.91,20.91,31946
2019-04-09,20.700001,20.9,20.700001,20.719999,20.719999,59302
2019-04-10,20.700001,20.84,20.01,20.16,20.16,65006
2019-04-11,20.15,20.5,19.690001,19.809999,19.809999,53251
2019-04-12,19.879999,20.110001,19.25,19.32,19.32,44566
2019-04-15,19.540001,19.690001,19.01,19.57,19.57,40424
2019-04-16,19.68,20.799999,19.57,20.379999,20.379999,39602
2019-04-17,20.42,21.48,20.23,20.85,20.85,62149
2019-04-22,20.860001,20.860001,20.6,20.799999,20.799999,28595
2019-04-23,20.799999,21.360001,20.030001,21.33,21.33,44252
2019-04-24,21.139999,21.299999,20.559999,21.030001,21.030001,66828
2019-04-25,20.559999,21.1,20.559999,20.98,20.98,64326
2019-04-26,21.1,21.450001,19.889999,20.219999,20.219999,193578
2019-04-29,19.82,19.940001,19.219999,19.58,19.58,270658
2019-04-30,19.6,19.6,19.120001,19.43,19.43,149213
2019-05-02,19.34,19.549999,19.129999,19.389999,19.389999,49983
2019-05-03,19.530001,19.99,19.52,19.959999,19.959999,125124
2019-05-06,19.66,20,19.33,20,20,75515
2019-05-07,20,20,19.25,19.52,19.52,147664
2019-05-08,19.610001,19.610001,18.26,18.83,18.83,253485
2019-05-09,18.9,18.9,17.66,18.83,18.83,233824
2019-05-10,19,19,17.860001,18.57,18.57,134073
2019-05-13,18.290001,18.5,17.559999,18.07,18.07,162777
2019-05-14,18.07,19.23,17.549999,18.92,18.92,95762
2019-05-15,19.139999,19.75,19,19.34,19.34,312364
2019-05-16,19.110001,19.75,18.77,19.24,19.24,118532
2019-05-17,19.700001,19.700001,18.549999,19.040001,19.040001,68729
2019-05-20,19.66,19.700001,19.01,19.59,19.59,67869
2019-05-21,19.690001,19.690001,19.02,19.610001,19.610001,178342
2019-05-22,19.549999,19.549999,19.110001,19.16,19.16,63253
2019-05-23,19.059999,19.42,18.77,18.780001,18.780001,72594
2019-05-24,18.77,19.049999,18.02,18.559999,18.559999,97763
2019-05-27,18.549999,18.98,18.299999,18.889999,18.889999,38059
2019-05-28,18.98,19.450001,17.5,17.82,17.82,701464
2019-05-29,17.969999,18.379999,17.75,17.809999,17.809999,161808
2019-05-30,18.18,18.32,17.870001,18.280001,18.280001,225714
2019-05-31,17.91,18.27,17.809999,17.889999,17.889999,113344
2019-06-03,17.84,18.450001,17.809999,18.25,18.25,39400
2019-06-04,18.49,18.5,18.07,18.33,18.33,36354
2019-06-05,18.469999,18.5,17.83,18.469999,18.469999,46587
2019-06-06,18.450001,18.450001,18.02,18.219999,18.219999,35257
2019-06-07,18.299999,18.51,18.139999,18.33,18.33,31745
2019-06-10,18.32,18.5,18.32,18.49,18.49,1327003
2019-06-11,18.450001,18.799999,18.120001,18.34,18.34,182470
2019-06-12,18.110001,18.379999,17.85,18.07,18.07,127311
2019-06-13,17.99,18.26,17.700001,18.17,18.17,158139
2019-06-14,17.9,18.25,17.639999,17.82,17.82,143177
2019-06-17,18.08,18.129999,17.73,17.780001,17.780001,56991
2019-06-18,18.120001,18.24,17.85,17.940001,17.940001,58967
2019-06-19,18.120001,18.200001,17.77,18.129999,18.129999,98776
2019-06-20,18.200001,18.200001,17.950001,18.18,18.18,156119
2019-06-21,18.200001,19.4,18.200001,18.860001,18.860001,363308
2019-06-24,18.860001,19.02,18.389999,18.52,18.52,65551
2019-06-25,18.49,18.709999,18.01,18.030001,18.030001,60087
2019-06-26,18.209999,18.65,18.129999,18.4,18.4,71360
2019-06-27,18.48,18.790001,18.02,18.09,18.09,75832
2019-06-28,18.23,18.5,17.780001,18.16,18.16,135348
2019-07-01,18.43,18.43,18.01,18.33,18.33,24103
2019-07-02,18.389999,18.4,18.110001,18.4,18.4,36142
2019-07-03,18.4,18.450001,18.1,18.190001,18.190001,43908
2019-07-04,18.299999,18.4,18.299999,18.389999,18.389999,36884
2019-07-05,18.1,18.389999,18.030001,18.059999,18.059999,43422
2019-07-08,18.26,18.440001,18.139999,18.4,18.4,53081
2019-07-09,18.4,18.4,17.75,18.07,18.07,112901
2019-07-10,18.030001,18.34,18.030001,18.09,18.09,44876
2019-07-11,18.08,18.34,17.860001,18.23,18.23,1246571
2019-07-12,18.280001,18.280001,17.719999,17.780001,17.780001,334348
2019-07-15,17.780001,18.01,17.76,17.99,17.99,35433
2019-07-16,17.780001,17.99,17.67,17.790001,17.790001,114448
2019-07-17,17.65,18,16.75,17.440001,17.440001,565132
2019-07-18,17.190001,17.620001,16.66,17.35,17.35,305205
2019-07-19,17.639999,17.66,16.790001,16.879999,16.879999,140431
2019-07-22,16.879999,17.23,16.68,16.9,16.9,100830
2019-07-23,16.84,16.860001,15.58,16.139999,16.139999,256892
2019-07-24,16.15,16.5,15.85,16.09,16.09,752911
2019-07-25,15.91,16.280001,15.38,15.78,15.78,156490
