alcaldia,intensidad,area_m2,perime_m
Xochimilco,Bajo,973904.0292,6805.448256
Xochimilco,Muy Bajo,795548.3644,4693.752691
Benito Juárez,Muy Alto,168263.3241,1712.409605
Xochimilco,Muy Alto,267499.3689,2488.603256
Benito Juárez,Muy Alto,202062.4083,2113.713857
Tláhuac,Medio,234874.042,3196.080444
Tláhuac,Bajo,355850.19,2734.136345
Tláhuac,Muy Alto,284714.8759,2399.453628
Tlalpan,Bajo,118347.6122,1477.922947
Xochimilco,Muy Bajo,80875.1795,1575.467807
Tláhuac,Alto,191056.4402,2120.751415
Xochimilco,Muy Bajo,9832.67796,583.0956366
Benito Juárez,Alto,280199.9002,3236.214951
Benito Juárez,Muy Alto,145405.5178,1956.192348
Benito Juárez,Muy Alto,403840.9857,2691.862478
Tláhuac,Muy Alto,275652.6539,2415.966237
Álvaro Obregón,Muy Bajo,49967.63676,956.1417802
Tláhuac,Muy Alto,311177.7307,3053.041939
Álvaro Obregón,Muy Bajo,24577.04632,636.0269816
Tlalpan,Muy Bajo,1461151.132,6038.299744
Xochimilco,Muy Bajo,141590.6665,2335.113315
Benito Juárez,Muy Alto,161889.0329,1671.435931
Benito Juárez,Muy Alto,132146.045,1492.719997
Xochimilco,Muy Alto,46474.08318,891.4327835
Álvaro Obregón,Muy Bajo,122196.6071,1860.582334
Tlalpan,Medio,415376.6341,3069.477165
Xochimilco,Muy Alto,461182.1882,3138.312488
Álvaro Obregón,Muy Bajo,147747.0673,2174.114343
Tlalpan,Muy Bajo,335403.9983,3028.536048
Tlalpan,Muy Bajo,971697.3818,6251.711443
Álvaro Obregón,Muy Bajo,101160.5555,1915.702178
Álvaro Obregón,Muy Bajo,42462.4551,1398.708076
Álvaro Obregón,Muy Bajo,729596.0291,5029.814649
Álvaro Obregón,Muy Bajo,1064286.717,5084.240276
Álvaro Obregón,Bajo,276896.9287,3678.817713
Álvaro Obregón,Muy Bajo,195935.1315,2234.031783
Tláhuac,Muy Alto,441545.067,4237.638482
Álvaro Obregón,Muy Bajo,62402.19849,1443.241246
Tláhuac,Muy Alto,287953.7506,2756.626671
Tláhuac,Muy Alto,222300.563,2559.141033
Tláhuac,Muy Bajo,675415.3921,4357.627546
Iztapalapa,Muy Alto,981506.1598,5933.164493
Iztapalapa,Muy Alto,199916.6283,1820.737653
Iztapalapa,Muy Alto,233348.741,2534.617703
Álvaro Obregón,Muy Bajo,235262.8042,2972.117176
Iztapalapa,Muy Alto,420708.4721,4868.602109
Iztapalapa,Muy Alto,445195.5489,2929.406556
Iztacalco,Muy Alto,530003.0106,3001.572612
Iztapalapa,Bajo,192325.0046,2221.137716
Álvaro Obregón,Muy Bajo,125642.3673,1952.020543
Iztapalapa,Muy Alto,207040.9525,3361.72561
Iztapalapa,Muy Bajo,243214.8227,2584.182992
Iztapalapa,Muy Alto,39396.48279,1034.043627
Iztapalapa,Muy Bajo,497499.9472,4130.511005
Iztapalapa,Muy Bajo,171557.797,2325.920461
Iztapalapa,Muy Alto,180190.8973,1886.554705
Iztapalapa,Muy Alto,183371.0986,1775.725811
Xochimilco,Alto,562014.6801,4994.456704
Iztapalapa,Medio,235835.2485,2974.123641
Tlalpan,Muy Alto,104479.4362,1836.838875
Tlalpan,Muy Bajo,163726.7871,2103.18884
Iztapalapa,Muy Alto,274561.5058,2177.247474
Gustavo A. Madero,Bajo,241216.5509,2629.476315
Gustavo A. Madero,Muy Alto,237693.9512,2042.783618
Cuauhtémoc,Muy Alto,170073.8325,1687.858362
Gustavo A. Madero,Bajo,516393.1692,2930.296774
Gustavo A. Madero,Muy Alto,163342.3903,1782.810611
Iztacalco,Muy Alto,977236.2806,4811.840946
Iztacalco,Muy Alto,357636.5406,2793.233584
Iztacalco,Muy Alto,188197.1957,2058.316184
Cuauhtémoc,Muy Alto,226270.3306,2427.777679
Gustavo A. Madero,Muy Alto,201986.7307,2026.825406
Gustavo A. Madero,Muy Bajo,261564.1247,2081.451513
Gustavo A. Madero,Muy Alto,183111.9073,1986.193359
Gustavo A. Madero,Muy Alto,228236.376,1986.050253
Iztacalco,Muy Alto,213334.1542,2147.242222
Gustavo A. Madero,Muy Alto,215870.3237,1973.895826
Gustavo A. Madero,Bajo,477272.2021,2926.663211
Gustavo A. Madero,Muy Alto,635512.5527,4016.372446
Iztacalco,Muy Alto,139044.3886,2327.95343
Cuauhtémoc,Muy Alto,111389.4955,1614.959696
Cuauhtémoc,Muy Alto,273949.9566,2258.585605
Miguel Hidalgo,Muy Bajo,383543.2823,3187.882151
Venustiano Carranza,Muy Alto,219833.6338,3721.526864
Venustiano Carranza,Muy Alto,156696.8839,1754.982157
Venustiano Carranza,Muy Alto,70661.54384,1182.788144
Miguel Hidalgo,Muy Bajo,691897.7468,3964.008024
Venustiano Carranza,Muy Alto,88968.91111,1288.481362
Venustiano Carranza,Muy Alto,266483.1053,2623.710419
Miguel Hidalgo,Muy Alto,141909.4085,2824.778596
Miguel Hidalgo,Muy Bajo,80219.41918,1666.119093
Venustiano Carranza,Muy Alto,223796.255,1915.920154
Venustiano Carranza,Muy Alto,164467.4862,1865.816611
La Magdalena Contreras,Bajo,268917.325,2589.167378
La Magdalena Contreras,Muy Bajo,193472.7963,2408.662447
Iztapalapa,Muy Alto,149620.8553,1693.879696
Coyoacán,Muy Alto,106609.0708,1303.275027
Coyoacán,Muy Alto,320612.95,3948.15934
Iztapalapa,Muy Alto,297359.3136,2318.157189
Azcapotzalco,Muy Alto,212865.1225,2771.689755
Milpa Alta,Muy Bajo,23569.08468,853.9295402
Coyoacán,Muy Bajo,152835.2791,2017.510995
Iztapalapa,Muy Alto,161201.23,1775.211327
Azcapotzalco,Muy Alto,227932.7702,2071.344058
Miguel Hidalgo,Muy Bajo,706655.8177,3885.586151
Venustiano Carranza,Muy Alto,214784.2453,2279.448733
Miguel Hidalgo,Alto,396052.0924,4246.236183
Miguel Hidalgo,Muy Bajo,589399.9207,3413.889475
Miguel Hidalgo,Muy Bajo,275779.0638,2800.647259
Azcapotzalco,Muy Alto,243677.2341,2436.171429
Venustiano Carranza,Muy Alto,78534.76762,1110.808905
Cuauhtémoc,Muy Alto,132688.5719,1461.07765
Miguel Hidalgo,Muy Bajo,1390697.74,9771.746092
Cuauhtémoc,Muy Alto,37967.732,1072.799569
Miguel Hidalgo,Muy Alto,1009183.117,4733.725698
Cuauhtémoc,Muy Alto,439576.3295,2780.883012
Venustiano Carranza,Muy Alto,270144.3356,2488.987814
Venustiano Carranza,Muy Alto,141814.1988,1832.150993
Miguel Hidalgo,Muy Bajo,486163.4673,3453.553002
Cuauhtémoc,Muy Alto,32918.26711,912.6958218
Cuauhtémoc,Muy Alto,215343.6895,2007.286642
Cuauhtémoc,Muy Alto,267444.742,3209.294188
Venustiano Carranza,Muy Alto,208109.1467,1910.358191
Gustavo A. Madero,Bajo,554095.2067,3842.84665
Iztacalco,Muy Alto,305908.6645,3422.80412
Cuauhtémoc,Muy Alto,205806.9589,1864.928387
Gustavo A. Madero,Muy Alto,379291.7935,3260.755397
Gustavo A. Madero,Muy Bajo,261564.1247,2081.451513
Gustavo A. Madero,Muy Alto,327257.1498,2335.678347
Gustavo A. Madero,Alto,195594.1622,2110.647048
Gustavo A. Madero,Muy Alto,311968.0717,3418.173649
Cuauhtémoc,Muy Alto,267550.7169,2448.706296
Iztapalapa,Muy Alto,191314.3818,1873.768689
Tlalpan,Medio,220142.2713,3769.323153
Tlalpan,Muy Bajo,516343.8392,3931.356882
Tlalpan,Muy Bajo,168961.6933,2031.965971
Tlalpan,Muy Bajo,641031.8247,3976.205437
Tlalpan,Muy Alto,95026.11602,1321.931752
Tlalpan,Muy Bajo,349678.9176,2865.989532
Iztapalapa,Muy Alto,453391.8538,2793.626676
Iztapalapa,Muy Alto,70492.25466,1384.726274
Gustavo A. Madero,Muy Alto,166619.197,1735.079753
Gustavo A. Madero,Muy Alto,180679.8958,1757.081602
Gustavo A. Madero,Muy Alto,388163.4267,2897.601553
Gustavo A. Madero,Muy Alto,286293.3558,2341.849753
Gustavo A. Madero,Muy Bajo,137026.5914,1844.321996
Gustavo A. Madero,Muy Bajo,206495.8924,2877.650991
Gustavo A. Madero,Muy Alto,60153.18558,1054.25907
Gustavo A. Madero,Muy Alto,298498.4281,2657.14041
Gustavo A. Madero,Muy Bajo,160183.9773,1789.78683
Cuajimalpa de Morelos,Muy Bajo,951005.3009,5587.846826
Gustavo A. Madero,Alto,2980252.35,10355.90628
Coyoacán,Muy Alto,309654.3598,2405.94119
Coyoacán,Muy Bajo,1501950.708,5337.331204
Azcapotzalco,Muy Alto,269287.0315,2186.758479
Coyoacán,Muy Bajo,70884.51685,1132.037135
Gustavo A. Madero,Muy Alto,271623.4292,2773.216764
Azcapotzalco,Medio,195441.7162,1806.100705
Gustavo A. Madero,Muy Alto,311313.272,2257.211018
Coyoacán,Muy Alto,138158.2565,1733.164265
Coyoacán,Muy Alto,233103.732,2196.904115
Coyoacán,Muy Alto,108050.0386,1460.692213
Azcapotzalco,Muy Alto,676150.3512,3658.766753
Gustavo A. Madero,Muy Alto,57766.35012,1000.498768
Coyoacán,Muy Alto,537102.1169,2997.021028
Iztapalapa,Muy Alto,129549.5353,1699.437469
La Magdalena Contreras,Muy Bajo,278609.8536,2102.941228
Iztapalapa,Muy Alto,763834.9063,3948.219623
Milpa Alta,Muy Bajo,43718.00631,945.5143552
La Magdalena Contreras,Bajo,106332.9728,1667.974493
Iztapalapa,Muy Alto,375523.5987,2639.924319
Iztapalapa,Alto,280715.7969,2132.708217
Iztapalapa,Muy Alto,232473.7123,3196.796076
Iztapalapa,Muy Alto,234807.2924,2511.264608
Iztapalapa,Muy Alto,300891.0901,2292.925077
Iztapalapa,Alto,631901.6359,4068.274219
Iztapalapa,Alto,243603.2039,2177.955803
Iztapalapa,Muy Alto,238184.6224,2019.393935
Iztacalco,Muy Alto,147597.8583,1915.095156
Iztapalapa,Alto,372990.4511,2524.887621
Iztapalapa,Alto,128759.0515,1832.212387
Iztapalapa,Muy Alto,14792.78338,602.0629286
Iztapalapa,Muy Alto,276077.0046,2453.121376
Iztapalapa,Muy Alto,535186.7232,2932.633101
Tlalpan,Muy Alto,189966.4687,2888.680322
Iztapalapa,Muy Alto,134681.8534,2142.328069
Iztapalapa,Muy Alto,239240.4564,2617.666019
Iztapalapa,Muy Alto,337162.4298,2412.679704
Iztapalapa,Medio,122339.654,2322.849419
Iztapalapa,Muy Bajo,168636.2129,2053.186756
Iztapalapa,Muy Alto,117576.357,1434.969294
Tlalpan,Muy Alto,538623.5543,2957.767056
Álvaro Obregón,Muy Bajo,171387.4704,2043.186565
Tláhuac,Muy Alto,198538.2875,2276.330397
Álvaro Obregón,Muy Bajo,166612.454,1700.954855
Álvaro Obregón,Muy Bajo,1230789.634,5490.791348
Tláhuac,Muy Alto,19919.90983,664.4928657
Iztapalapa,Muy Alto,99535.52286,1823.008455
Iztapalapa,Muy Alto,84324.6669,1201.798928
Milpa Alta,Muy Bajo,168602.4532,2117.791487
Iztapalapa,Muy Bajo,205125.9138,2147.37546
Iztapalapa,Muy Alto,251966.1645,2090.005539
Tlalpan,Muy Bajo,1270745.44,5118.81586
Álvaro Obregón,Muy Bajo,1359093.521,7132.296015
Xochimilco,Bajo,902452.7848,5946.670188
Tláhuac,Muy Alto,260430.89,2192.519204
Álvaro Obregón,Muy Bajo,22299.42869,831.9862325
Álvaro Obregón,Muy Bajo,287963.7156,3738.268043
Tlalpan,Medio,244721.0127,2180.10094
Álvaro Obregón,Muy Bajo,471357.4823,4092.739456
Álvaro Obregón,Bajo,173872.0212,2076.390341
Tlalpan,Muy Bajo,249492.4087,2387.175076
Álvaro Obregón,Muy Bajo,308614.9206,2500.36908
Álvaro Obregón,Muy Bajo,250065.5586,2617.336579
Álvaro Obregón,Muy Bajo,48279.92777,1153.145371
